Ana Perez;ana.perez@dance.com;123123123;dancer;read
Juan Gomez;juan.gomez@dance.com;123123123;dancer;read
Laura Martínez;laura.martinez@dance.com;123123123;dancer;read
Pedro Lopez;pedro.lopez@dance.com;123123123;dancer;read
Sofía Torres;sofia.torres@dance.com;123123123;dancer;read
Carlos Ramírez;carlos.ramirez@dance.com;123123123;organizer;write
Lucía Fernandez;lucia.fernandez@dance.com;123123123;dancer;read
Luis García;luis.garcia@dance.com;123123123;dancer;read
Valeria Sanchez;valeria.sanchez@dance.com;123123123;dancer;read
Diego Lopez;diego.lopez@dance.com;123123123;organizer;write
María Gonzalez;maria.gonzalez@dance.com;123123123;dancer;read
Pablo Navarro;pablo.navarro@dance.com;123123123;organizer;write
Camila Vega;camila.vega@dance.com;123123123;organizer;write
Daniel Castro;daniel.castro@dance.com;123123123;dancer;read
Martina Ruiz;martina.ruiz@dance.com;123123123;dancer;read
Fernando Leon;fernando.leon@dance.com;123123123;organizer;write
Elena Diaz;elena.diaz@dance.com;123123123;dancer;read
Javier Ortiz;javier.ortiz@dance.com;123123123;dancer;read
Paula Moreno;paula.moreno@dance.com;123123123;dancer;read
Adrian Nunez;adrian.nunez@dance.com;123123123;organizer;write
Latremenda;latremenda@dance.com;123123123;organizer;write
Liosalsabachata;liosalsabachata@dance.com;123123123;organizer;write
Esencia;esencia@dance.com;123123123;organizer;write
Quechimba;quechimba@dance.com;123123123;organizer;write
Laliadabachatera;laliada@bachatera.com;123123123;organizer;write
Instep;instep@dance.com;123123123;organizer;write
Izan Y Monica;izanymonica@dance.com;123123123;organizer;write
Cristian y Marina;cristianymarina@dance.com;123123123;organizer;write
Latin Dance Festival;latin@dance.com;123123123;organizer;write
Alonso y Noelia;alonsoynoelia@dance.com;123123123;organizer;write
