Juan Pablo, juan@pablo.com, juanpablo, 123456, moderator
Pepito Grillo, pepito@grillo.com, pepitogrillo, 123456, regular
Steve Jobs, steve@jobs.com, stevejobs, 123456, regular
María López, maría@lopez.com, marialopez, 123456, regular
Ana García, ana@garcia.com, anagarcia, 123456, regular
Carlos Pérez, carlos@perez.com, carlosperez, 123456, regular
Lucía Fernández, lucia@fernandez.com, luciafernandez, 123456, regular
Javier Torres, javier@torres.com, javiertorres, 123456, regular
Sofía Méndez, sofia@mendez.com, sofiamendez, 123456, regular
Diego Rojas, diego@rojas.com, diegoroja, 123456, regular
Valentina Ruiz, valentina@ruiz.com, valentinaruiz, 123456, regular
Rafael Santos, rafael@santos.com, rafaelsantos, 123456, regular
Clara Ortega, clara@ortega.com, claraortega, 123456, regular
Fernando Gómez, fernando@gomez.com, fernandogomez, 123456, regular
Isabella Martínez, isabella@martinez.com, isabellamartinez, 123456, regular
Pablo Jiménez, pablo@jimenez.com, pablojimenez, 123456, regular
Camila Castro, camila@castro.com, camilacastro, 123456, regular
Andrés Vega, andres@vega.com, andresvega, 123456, regular
Natalia Sánchez, natalia@sanchez.com, nataliasanchez, 123456, regular
