Maria Perez, maria@perez.com, mariaperez, 123123123, elder
Eva Rojas, eva@rojas.com, evarojas, 123123123, caregiver
Pepi Aldana, pepi@Aldana.com, pepialdana, 123123123, elder
Maye Darling, maye@darling.com, mayedarling, 123123123, caregiver
Yosi Camejo, yosi@camejo.com, yosicamejo, 123123123, caregiver
Carmen Ramirez, carmen@ramirez.com, carmenramirez, 123123123, elder
Water Melon, water@melon.com, watermelon, 123123123, regular
Straw Berry, straw@berry.com, strawberry, 123123123, regular
Blue Berry, blue@berry.com, blueberry, 123123123, regular
Black Berry, black@berry.com, blackberry, 123123123, moderator
Mango Tango, mango@tango.com, mangotango, 123123123, regular
Cran Berry, cran@berry.com, cranberry, 123123123, regular
Kiwi Fruit, kiwi@fruit.com, kiwifruit, 123123123, regular
Passion Fruit, passion@fruit.com, passionfruit, 123123123, moderator
Lime Light, lime@light.com, limelight, 123123123, regular
Cherry Pop, cherry@pop.com, cherrypop, 123123123, regular
Peach Cobb, peach@cobb.com, peachcobb, 123123123, regular
Grape Vine, grape@vine.com, grapevine, 123123123, moderator
Pear Tree, pear@tree.com, peartree, 123123123, regular
Coconut Love, coconut@love.com, coconutlove, 123123123, regular
Banana Split, banana@split.com, bananasplit, 123123123, regular
Orange Peel, orange@peel.com, orangepeel, 123123123, regular
Guava Sweet, guava@sweet.com, guavasweet, 123123123, regular
Melon Ball, melon@ball.com, melonball, 123123123, regular
Berry Blast, berry@blast.com, berryblast, 123123123, moderator
