Ana Perez,ana.perez@dance.com,123123123,dancer,none,false,Girona
Juan Gomez,juan.gomez@dance.com,123123123,organizer,write,true,Girona
Laura Martínez,laura.martinez@dance.com,123123123,dancer,none,false,Girona
Pedro Lopez,pedro.lopez@dance.com,123123123,organizer,write,true,Girona
Sofía Torres,sofia.torres@dance.com,123123123,dancer,none,false,Girona
Carlos Ramírez,carlos.ramirez@dance.com,123123123,organizer,write,true,Girona
Lucía Fernandez,lucia.fernandez@dance.com,123123123,dancer,none,false,Girona
Luis García,luis.garcia@dance.com,123123123,dancer,none,false,Girona
Valeria Sanchez,valeria.sanchez@dance.com,123123123,dancer,none,false,Girona
Diego Lopez,diego.lopez@dance.com,123123123,organizer,write,true,Girona
María Gonzalez,maria.gonzalez@dance.com,123123123,dancer,none,false,Girona
Pablo Navarro,pablo.navarro@dance.com,123123123,dancer,none,false,Girona
Camila Vega,camila.vega@dance.com,123123123,organizer,write,true,Girona
Daniel Castro,daniel.castro@dance.com,123123123,dancer,none,false,Girona
Martina Ruiz,martina.ruiz@dance.com,123123123,dancer,none,false,Girona
Fernando Leon,fernando.leon@dance.com,123123123,organizer,write,true,Girona
Elena Diaz,elena.diaz@dance.com,123123123,dancer,none,false,Girona
Javier Ortiz,javier.ortiz@dance.com,123123123,dancer,none,false,Girona
Paula Moreno,paula.moreno@dance.com,123123123,dancer,none,false,Girona
Adrian Nunez,adrian.nunez@dance.com,123123123,organizer,write,true,Girona
Latremenda,latremenda@dance.com,123123123,organizer,write,true,Girona
Liosalsabachata,liosalsabachata@dance.com,123123123,organizer,write,true,Girona
Esencia,esencia@dance.com,123123123,organizer,write,true,Girona
Quechimba,quechimba@dance.com,123123123,organizer,write,true,Girona
Laliadabachatera,laliada@bachatera.com,123123123,organizer,write,true,Girona
