Gabriel Arcángel,gabriel@celestial.com,gabrielarcangel,123123123,regular
Lucifer Morningstar,lucifer@pandemonium.com,lucifermorningstar,123123123,regular
Lilith Noche,lilith@enigmatic.com,lilithnoche,123123123,moderator
Beelzebub Lord,beelzebub@abyss.com,beelzebublord,123123123,regular
Samael Shadow,samael@fallen.com,samaelshadow,123123123,regular
Azrael Angel,azrael@reaper.com,azraelangel,123123123,moderator
Belial Hunter,belial@chaos.com,belialhunter,123123123,regular
Mefistófeles Night,mefistofeles@dark.com,mefistofelesnight, 123123123,regular
Enoch Walker,enoch@holy.com,enochwalker,123123123,moderator
Michael Protector,michael@heavenly.com,michaelprotector,123123123,regular
Raphael Healer,raphael@divine.com,raphaelhealer,123123123,regular
Uriel Flame,uriel@light.com,urielflame,123123123,moderator
Asmodeus Fire,asmodeus@infernal.com,asmodeusfire,123123123,regular
Abaddon Abyss,abaddon@despair.com,abaddonabyss,123123123,moderator
Astaroth Whisper,astaroth@occult.com,astarothwhisper,123123123,regular
Metatron Voice,metatron@celestial.com,metatronvoice,123123123,moderator
Leviatán Sea,leviatan@abyss.com,leviatansea,123123123, moderator
Mammon Greed,mammon@wealth.com,mammongreed,123123123,regular
Banshee Cry,banshee@spirit.com,bansheecry,123123123,regular
Charon Ferryman,charon@underworld.com,charonferryman,123123123,moderator
